Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
91,Duquesne,A-10,,,23,11,71.2,66.5,4.71,,3.92,,-0.11,7.43,7.32,107.07,96.39,10.68
92,UC Irvine,Big West,,,24,9,77.7,67.8,9.91,,-1.04,,3.56,3.75,7.3,108.67,98.58,10.1
93,McNeese State,Southland,,,30,3,80.4,61.5,18.91,,-7.26,,1.78,5.37,7.16,113.94,102.28,11.66
94,Loyola (IL),A-10,,,23,9,73.4,67.3,6.13,,2.4,,1.08,5.99,7.07,104.91,94.33,10.58
95,St. Bonaventure,A-10,,,20,13,73.5,68.6,4.82,,2.22,,2.79,4.25,7.04,112.94,102.55,10.39
96,Princeton,Ivy,,,24,4,77.1,66,11.07,,-1.8,,3.28,3.65,6.93,116.23,105.14,11.09
97,Oklahoma State,Big 12,,,12,20,71,72.7,-1.72,,8.52,,2.91,3.89,6.8,109.59,100.23,9.36
98,Saint Joseph's,A-10,,,21,13,75.6,70.4,5.15,,1.63,,4.45,2.33,6.78,110.89,100.94,9.96
99,George Mason,A-10,,,20,12,71,65.9,5.13,,2.11,,-1.24,7.86,6.63,109.63,99.52,10.11
100,Appalachian State,Sun Belt,,,27,6,78.5,66.5,11.91,,-2.58,,1.67,4.75,6.42,106.46,97.03,9.44
101,Arkansas,SEC,,,16,17,77.8,79.8,-2.03,,8.41,,7.69,-1.3,6.38,109.98,101.31,8.68
102,Samford,Southern,,,29,5,86,73.9,12.03,,-3.71,,10.17,-3.91,6.26,111.78,103.9,7.88
103,Santa Clara,WCC,,,20,13,76.9,72.2,4.67,,1.96,,4.78,0.84,5.62,109.68,101.94,7.75
104,Michigan,Big Ten,,,8,24,72.9,79,-6.06,,11.66,,5.07,0.52,5.59,111.19,103.75,7.44
105,California,Pac-12,,,13,19,74,77,-3.06,,8.3,,4.94,0.3,5.24,109.31,101.47,7.84
106,Louisiana Tech,CUSA,,,22,10,74.8,64.5,10.22,,-1.46,,-0.61,5.67,5.06,106.35,98.5,7.85
107,Yale,Ivy,,,21,9,75.6,66.8,8.8,,-0.52,,0.47,4.58,5.05,108.92,101.17,7.75
108,Notre Dame,ACC,,,13,20,64,67.2,-3.12,,8.06,,-4.35,9.29,4.94,103.29,96.42,6.87
109,UAB,AAC,,,22,11,77.6,75.4,2.18,,3.78,,5.89,-0.98,4.91,111.85,104.79,7.06
110,Arizona State,Pac-12,,,14,18,69,74,-4.97,,9.85,,0.47,4.41,4.88,104,97.37,6.63
111,Georgia Tech,ACC,,,14,18,71,75.2,-4.22,,8.78,,3.17,1.39,4.56,108.71,102.41,6.3
112,Charlotte,AAC,,,19,12,68.7,65.6,3.13,,2.73,,-3.28,7.68,4.39,108.44,101.83,6.61
113,Southern Illinois,MVC,,,19,13,72.7,68.2,4.44,,0.67,,-0.26,4.5,4.25,109.24,102.81,6.44
114,West Virginia,Big 12,,,9,23,69.8,76.8,-7.03,,11.28,,3.76,0.49,4.25,109.57,103.41,6.16
115,College of Charleston,CAA,,,27,7,80.5,72.5,7.94,,-2.87,,6.87,-2.68,4.19,111.38,105.2,6.18
116,Northern Iowa,MVC,,,19,14,73.2,71.1,2.15,,2.99,,1.33,2.64,3.96,108.69,103.12,5.57
117,Tulane,AAC,,,14,17,81.9,80,1.9,,2.99,,10.74,-6.78,3.96,110.97,105.6,5.37
118,Davidson,A-10,,,15,17,70.1,67.9,2.13,,3.51,,-1.39,5.23,3.85,106.05,100.07,5.98
119,Cornell,Ivy,,,22,7,82.1,74.2,7.83,,-1.91,,7.93,-4.29,3.64,111.2,106.38,4.83
120,Oregon State,Pac-12,,,13,19,68.9,72.7,-3.81,,8.64,,0.03,3.52,3.54,107.08,103.09,3.99
121,Missouri,SEC,,,8,24,72.2,76.2,-4.03,,7.55,,1.68,1.84,3.52,108.95,104.11,4.84
122,Seattle,WAC,,,19,14,73.6,67.4,6.21,,-1.33,,-0.22,3.58,3.36,104.78,99.51,5.27
123,Akron,MAC,,,24,10,74,65.9,8.18,,-2.52,,-1.99,5.01,3.02,105.87,101.41,4.47
124,Belmont,MVC,,,20,13,77.9,75.5,2.33,,1.58,,5.49,-2.57,2.92,108.46,104.31,4.16
125,Vermont,AEC,,,28,6,72.3,63,9.35,,-3.89,,-4.87,7.79,2.92,105.59,100.77,4.82
126,UC San Diego,Big West,,,21,11,76.7,69.2,7.56,,-2.26,,1.43,1.38,2.81,109.84,105.88,3.96
127,Hofstra,CAA,,,20,13,74.2,68.5,5.76,,-1.83,,-0.97,3.42,2.45,106.68,102.7,3.98
128,UT Arlington,WAC,,,20,14,76.9,73.3,3.59,,0.72,,4.52,-2.11,2.4,107.64,103.83,3.82
129,Wichita State,AAC,,,15,19,72.8,73.1,-0.26,,3.51,,0.15,2.18,2.33,104.3,100.88,3.42
